Date Time,Sensor_Data,Feature_1,Feature_2,Actual_Data
1/07/16  13:00,45,9,23,45
1/07/16  13:33,45,10,24,45
1/07/16  13:00,45,10,24,45
1/07/16  14:00,45,9,23,45
1/07/16  15:23,46,15.1,29,46
1/07/16  15:44,45,12.9,27,45
1/07/16  15:00,46,12.9,26,46
1/07/16  16:00,45,18,34,45
1/07/16  17:00,45,21.9,40,45
1/07/16  18:00,44.1,18,35,44.1
1/08/16  19:00,42.1,19,40,42.1
1/08/16  20:00,42.1,19,40,42.1
1/08/16  21:00,42.1,19,40,42.1
1/08/16  22:00,39,19.9,46,39
1/08/16  23:00,39.2,17.6,42,39.2
1/08/16  00:00,37.4,21.2,52,37.4
1/08/16  01:00,37.4,21.2,52,37.4
1/08/16  02:00,37.4,21.2,52,37.4
1/08/16  03:00,35.6,19.4,52,35.6
1/08/16  04:00,35.6,17.6,48,35.6
1/08/16  05:00,35.6,17.6,48,35.6
1/08/16  06:00,35.6,21.2,56,35.6
1/08/16  07:00,37.4,24.8,60,37.4
1/08/16  09:00,39.2,30.2,70,39.2
1/08/16  10:00,41,30.2,65,41
1/08/16  11:00,42.8,39.2,87,42.8
1/08/16  12:00,42.8,33.8,70,42.8
1/08/16  13:00,42.8,32,66,42.8
1/08/16  14:28,43,30.9,62,43
1/08/16  14:00,43,30.9,62,43
1/08/16  15:00,43,33.1,68,43
1/08/16  16:00,44.1,33.1,65,44.1
1/08/16  17:28,44.1,33.1,65,44.1
1/08/16  17:48,44.6,33.8,66,44.6
1/08/16  17:00,44.1,33.1,65,44.1
1/08/16  18:36,44.1,30.9,60,44.1
1/08/16  18:00,44.1,30.9,60,44.1
1/09/16  19:00,44.1,30.9,60,44.1
1/09/16  20:00,44.1,30.9,60,44.1
1/09/16  21:10,43,32,65,43
1/09/16  21:42,42.1,33.1,70,42.1
1/09/16  21:00,42.1,33.1,70,42.1
1/09/16  22:00,42.1,33.1,70,42.1
1/09/16  23:18,42.1,33.1,70,42.1
1/09/16  23:46,42.8,33.8,70,42.8
1/09/16  23:00,41,32,70,41
1/09/16  00:00,41,32,70,41
1/09/16  01:00,41,33.1,73,41
1/09/16  02:00,41,33.1,73,41
1/09/16  03:00,39.9,33.1,77,39.9
1/09/16  04:00,41,34,76,41
1/09/16  05:00,41,34,76,41
1/09/16  06:00,41,35.1,79,41
1/09/16  07:38,42.1,36,79,42.1
1/09/16  07:00,42.1,36,79,42.1
1/09/16  08:00,42.1,36,79,42.1
1/09/16  09:00,44.1,37,76,44.1
1/09/16  10:07,45,37,74,45
1/09/16  10:16,44.1,37,76,44.1
1/09/16  10:00,44.1,37,76,44.1
1/09/16  11:26,46,37,71,46
1/09/16  11:00,46,37,71,46
1/09/16  12:00,46,39.9,79,46
1/09/16  13:00,46,39.9,79,46
1/09/16  14:00,46,39,76,46
1/09/16  14:44,46,39.9,79,46
1/09/16  14:00,46,39,76,46
1/09/16  15:00,45,39,80,45
1/09/16  16:00,45,39.9,82,45
1/09/16  17:00,46,39.9,79,46
1/09/16  18:01,46,39.9,79,46
1/09/16  18:00,46,39.9,79,46
1/10/16  19:26,46.9,39.9,77,46.9
1/10/16  19:00,46.9,39.9,77,46.9
1/10/16  20:00,46,39.9,79,46
1/10/16  21:00,46,41,83,46
1/10/16  22:00,46,41,83,46
1/10/16  23:00,46,42.1,86,46
1/10/16  00:00,46,42.1,86,46
1/10/16  01:00,46,42.1,86,46
1/10/16  02:00,46,42.1,86,46
1/10/16  03:47,44.6,42.8,93,44.6
1/10/16  03:00,45,42.1,90,45
1/10/16  04:12,45,42.1,90,45
1/10/16  04:39,45,42.1,90,45
1/10/16  04:41,45,42.1,90,45
1/10/16  04:00,45,42.1,90,45
1/10/16  05:02,45,42.1,90,45
1/10/16  05:37,45,42.1,90,45
1/10/16  05:46,44.6,42.8,93,44.6
1/10/16  05:00,45,42.1,90,45
1/10/16  06:01,45,42.1,90,45
1/10/16  06:29,45,43,93,45
1/10/16  06:48,44.6,42.8,93,44.6
1/10/16  06:00,46,43,89,46
1/10/16  07:00,48,45,89,48
1/10/16  08:13,48.9,46.9,93,48.9
1/10/16  08:21,48.9,46.9,93,48.9
1/10/16  08:42,50,46.9,89,50
1/10/16  08:00,50,48.9,96,50
1/10/16  09:00,57,55,93,57
1/10/16  10:45,57.2,55.4,94,57.2
1/10/16  10:00,57,55,93,57
1/10/16  11:05,57,55,93,57
1/10/16  11:31,57,55,93,57
1/10/16  11:00,57,55,93,57
1/10/16  12:04,57,55,93,57
1/10/16  12:12,57,55,93,57
1/10/16  12:18,57,55,93,57
1/10/16  12:00,57.9,55,90,57.9
1/10/16  13:00,59,55.9,90,59
1/10/16  14:12,59,55,87,59
1/10/16  14:00,57,54,89,57
1/10/16  15:08,57,54,89,57
1/10/16  15:26,57,53.1,87,57
1/10/16  15:00,57,53.1,87,57
1/10/16  16:00,57,44.1,62,57
1/10/16  17:00,55.9,43,62,55.9
1/10/16  18:00,55,39.9,57,55
1/11/16  19:00,52,37,57,52
1/11/16  20:00,46.9,30,52,46.9
1/11/16  21:00,43,25,49,43
1/11/16  22:00,41,24.1,51,41
1/11/16  23:00,41,23,49,41
1/11/16  00:00,39,19.9,46,39
1/11/16  01:00,39,18,43,39
1/11/16  02:00,36,18,48,36
1/11/16  03:00,34,15.1,46,34
1/11/16  04:00,33.1,12,42,33.1
1/11/16  05:00,32,10.9,42,32
1/11/16  06:00,30.9,14,50,30.9
1/11/16  07:00,30,9,41,30
1/11/16  08:00,30,8.1,40,30
1/11/16  09:00,30.9,7,37,30.9
1/11/16  10:00,30.9,7,37,30.9
1/11/16  11:00,32,8.1,37,32
1/11/16  12:00,33.1,8.1,35,33.1
1/11/16  13:00,33.1,6.1,32,33.1
1/11/16  14:00,33.1,5,31,33.1
1/11/16  15:00,33.1,1.9,27,33.1
1/11/16  16:00,32,3,29,32
1/11/16  17:00,30.9,3,31,30.9
1/11/16  18:00,28.9,1.9,32,28.9
1/12/16  19:00,28.9,1,30,28.9
1/12/16  20:00,28,1,31,28
1/12/16  21:00,27,1.9,34,27
1/12/16  22:00,27,1.9,34,27
1/12/16  23:00,26.1,1.9,35,26.1
1/12/16  00:00,25,3,39,25
1/12/16  01:00,25,1.9,37,25
1/12/16  02:00,25,3,39,25
1/12/16  03:00,26.1,3.9,39,26.1
1/12/16  04:00,26.1,6.1,43,26.1
1/12/16  05:00,26.1,6.1,43,26.1
1/12/16  06:00,27,6.1,41,27
1/12/16  07:00,28,9,45,28
1/12/16  08:00,28.9,10.9,47,28.9
1/12/16  09:00,33.1,14,46,33.1
1/12/16  10:00,37.9,19,47,37.9
1/12/16  11:00,39.9,16,38,39.9
1/12/16  12:00,42.1,18,38,42.1
1/12/16  13:00,43,19,38,43
1/12/16  14:00,44.1,16,32,44.1
1/12/16  15:00,43,21,42,43
1/12/16  16:00,37,28.9,73,37
1/12/16  17:00,36,28,73,36
1/12/16  18:00,37,28,70,37
1/13/16  19:00,37.9,27,65,37.9
1/13/16  20:00,37,25,62,37
1/13/16  21:00,33.1,19,56,33.1
1/13/16  22:00,32,18,56,32
1/13/16  23:00,30,10,43,30
1/13/16  00:00,27,7,43,27
1/13/16  01:00,26.1,6.1,43,26.1
1/13/16  02:00,25,6.1,45,25
1/13/16  03:00,24.1,6.1,46,24.1
1/13/16  04:00,23,7,50,23
1/13/16  05:00,23,6.1,48,23
1/13/16  06:00,21.9,7,53,21.9
1/13/16  07:00,21.9,6.1,51,21.9
1/13/16  08:00,23,6.1,48,23
1/13/16  09:00,24.1,5,44,24.1
1/13/16  10:00,25,3,39,25
1/13/16  11:00,26.1,1.9,35,26.1
1/13/16  12:00,28,1.9,33,28
1/13/16  13:00,28,1.9,33,28
1/13/16  14:00,28,1.9,33,28
1/13/16  15:00,28,3.9,36,28
1/13/16  16:00,27,3.9,37,27
1/13/16  17:00,26.1,3.9,39,26.1
1/13/16  18:00,25,3.9,41,25
1/14/16  19:00,24.1,3,40,24.1
1/14/16  20:00,24.1,3,40,24.1
1/14/16  21:00,24.1,3,40,24.1
1/14/16  22:00,23,3.9,44,23
1/14/16  23:00,23,3.9,44,23
1/14/16  00:00,23,1.9,40,23
1/14/16  01:00,21.9,1,40,21.9
1/14/16  02:00,23,1.9,40,23
1/14/16  03:00,23,3.9,44,23
1/14/16  04:00,23,3.9,44,23
1/14/16  05:00,24.1,8.1,51,24.1
1/14/16  06:00,24.1,10.9,57,24.1
1/14/16  07:00,24.1,9,53,24.1
1/14/16  08:00,26.1,7,44,26.1
1/14/16  09:00,27,6.1,41,27
1/14/16  10:00,28.9,7,40,28.9
1/14/16  11:00,30.9,9,40,30.9
1/14/16  12:00,33.1,12,42,33.1
1/14/16  13:00,35.1,15.1,44,35.1
1/14/16  14:00,36,17.1,46,36
1/14/16  15:00,37,18,46,37
1/14/16  16:00,37,19,48,37
1/14/16  17:00,37,19,48,37
1/14/16  18:00,37,19,48,37
1/15/16  19:00,37.9,19,47,37.9
1/15/16  20:00,37,19,48,37
1/15/16  21:00,37,19.9,50,37
1/15/16  22:00,37,21.9,54,37
1/15/16  23:00,37,21,52,37
1/15/16  00:00,36,21,55,36
1/15/16  01:00,37,19.9,50,37
1/15/16  02:00,36,23,59,36
1/15/16  03:00,35.1,23,61,35.1
1/15/16  04:00,35.1,23,61,35.1
1/15/16  05:00,37,24.1,59,37
1/15/16  06:00,37,26.1,65,37
1/15/16  07:00,37,27,67,37
1/15/16  08:00,39,28.9,67,39
1/15/16  09:00,41,30,65,41
1/15/16  10:00,42.1,30,62,42.1
1/15/16  11:00,46,30.9,56,46
1/15/16  12:00,48,34,58,48
1/15/16  13:00,51.1,33.1,50,51.1
1/15/16  14:00,50,35.1,57,50
1/15/16  15:00,48.9,37.9,66,48.9
1/15/16  16:00,48.9,39,69,48.9
1/15/16  17:00,48.9,37.9,66,48.9
1/15/16  18:00,48.9,36,61,48.9
1/16/16  19:00,48.9,37,64,48.9
1/16/16  20:00,48,37,66,48
1/16/16  21:00,46,39.9,79,46
1/16/16  22:00,46,39,76,46
1/16/16  23:00,46,39.9,79,46
1/16/16  00:00,45,39.9,82,45
1/16/16  01:06,44.1,41,89,44.1
1/16/16  01:48,44.6,39.2,81,44.6
1/16/16  01:00,44.1,39.9,85,44.1
1/16/16  01:58,43,39.9,89,43
1/16/16  02:16,42.1,39,89,42.1
1/16/16  02:25,42.1,39,89,42.1
1/16/16  02:48,42.8,39.2,87,42.8
1/16/16  02:00,42.1,39,89,42.1
1/16/16  03:00,43,39,86,43
1/16/16  04:00,43,39,86,43
1/16/16  05:00,43,39,86,43
1/16/16  06:00,43,39,86,43
1/16/16  07:00,43,39,86,43
1/16/16  08:10,43,39,86,43
1/16/16  08:17,43,39.9,89,43
1/16/16  08:47,42.8,39.2,87,42.8
1/16/16  08:00,43,39.9,89,43
1/16/16  09:43,44.1,39,82,44.1
1/16/16  09:00,44.1,39,82,44.1
1/16/16  10:00,45,39,80,45
1/16/16  11:00,46.9,39,74,46.9
1/16/16  12:11,48,37.9,68,48
1/16/16  12:00,50,37.9,63,50
1/16/16  13:00,50,35.1,57,50
1/16/16  14:00,51.1,33.1,50,51.1
1/16/16  15:00,50,32,50,50
1/16/16  16:00,50,33.1,52,50
1/16/16  17:00,46.9,30,52,46.9
1/16/16  18:00,46,30,54,46
1/17/16  19:00,46,30.9,56,46
1/17/16  20:00,45,28.9,53,45
1/17/16  21:00,44.1,28.9,55,44.1
1/17/16  22:00,43,28.9,58,43
1/17/16  23:00,42.1,28.9,60,42.1
1/17/16  00:00,42.1,28,58,42.1
1/17/16  01:25,41,28,60,41
1/17/16  01:46,41,28.4,61,41
1/17/16  01:00,41,28,60,41
1/17/16  02:49,41,28.4,61,41
1/17/16  02:00,41,28,60,41
1/17/16  03:15,39.9,26.1,58,39.9
1/17/16  03:00,39,24.1,55,39
1/17/16  04:00,37,19.9,50,37
1/17/16  05:00,36,19,50,36
1/17/16  06:00,35.1,19,52,35.1
1/17/16  07:00,35.1,18,50,35.1
1/17/16  08:00,35.1,19,52,35.1
1/17/16  09:00,35.1,18,50,35.1
1/17/16  10:00,35.1,18,50,35.1
1/17/16  11:00,36,18,48,36
1/17/16  12:00,36,18,48,36
1/17/16  13:00,35.1,17.1,48,35.1
1/17/16  14:00,34,19,54,34
1/17/16  15:00,30.9,24.1,76,30.9
1/17/16  16:00,30,26.1,85,30
1/17/16  17:00,30,26.1,85,30
1/17/16  18:29,30,25,82,30
1/17/16  18:40,30,25,82,30
1/17/16  18:00,30,25,82,30
1/18/16  19:07,30,25,82,30
1/18/16  19:00,30,25,82,30
1/18/16  20:10,30,25,82,30
1/18/16  20:36,30,25,82,30
1/18/16  20:00,30,24.1,79,30
1/18/16  21:33,30,24.1,79,30
1/18/16  21:00,30,24.1,79,30
1/18/16  22:00,30.9,24.1,76,30.9
1/18/16  23:00,30.9,24.1,76,30.9
1/18/16  00:00,30.9,23,72,30.9
1/18/16  01:00,30.9,24.1,76,30.9
1/18/16  02:00,30,24.1,79,30
1/18/16  03:00,30,18,61,30
1/18/16  04:00,28.9,9,43,28.9
1/18/16  05:00,27,3,36,27
1/18/16  06:32,21.9,14,72,21.9
1/18/16  06:43,23,12.9,65,23
1/18/16  06:00,23,10.9,60,23
1/18/16  07:00,21.9,6.1,51,21.9
1/18/16  08:00,23,3.9,44,23
1/18/16  09:00,23,3,42,23
1/18/16  10:00,24.1,1,37,24.1
1/18/16  11:00,26.1,1,34,26.1
1/18/16  12:00,26.1,-0.9,31,26.1
1/18/16  13:00,28,-2,27,28
1/18/16  14:00,26.1,-2,30,26.1
1/18/16  15:00,25,-2,31,25
1/18/16  16:00,23,1,39,23
1/18/16  17:00,23,1.9,40,23
1/18/16  18:00,21.9,1,40,21.9
1/19/16  19:00,21,1.9,44,21
1/19/16  20:00,19.9,0,42,19.9
1/19/16  21:00,19.9,0,42,19.9
1/19/16  22:00,19,1,46,19
1/19/16  23:00,18,1,48,18
1/19/16  00:00,18,1,48,18
1/19/16  01:00,17.1,1,50,17.1
1/19/16  02:00,17.1,0,47,17.1
1/19/16  03:00,17.1,1,50,17.1
1/19/16  04:00,17.1,1,50,17.1
1/19/16  05:00,17.1,1,50,17.1
1/19/16  06:00,16,1,52,16
1/19/16  07:00,16,1,52,16
1/19/16  08:00,18,1.9,50,18
1/19/16  09:00,19.9,1.9,46,19.9
1/19/16  10:00,23,1.9,40,23
1/19/16  11:00,24.1,1.9,38,24.1
1/19/16  12:00,25,3,39,25
1/19/16  13:00,26.1,3,37,26.1
1/19/16  14:00,27,3,36,27
1/19/16  15:00,28,1.9,33,28
1/19/16  16:00,28,1.9,33,28
1/19/16  17:00,28,1.9,33,28
1/19/16  18:00,27,1.9,34,27
1/20/16  19:00,27,5,39,27
1/20/16  20:00,27,7,43,27
1/20/16  21:00,27,9,47,27
1/20/16  22:00,28,10,47,28
1/20/16  23:00,28,10.9,49,28
1/20/16  00:00,28.9,12,49,28.9
1/20/16  01:00,28,12,51,28
1/20/16  02:00,28,12.9,53,28
1/20/16  03:00,28,14,56,28
1/20/16  04:00,27,14,58,27
1/20/16  05:00,28,15.1,58,28
1/20/16  06:00,28,15.1,58,28
1/20/16  07:00,28.9,15.1,56,28.9
1/20/16  08:00,30,15.1,54,30
1/20/16  09:00,30.9,14,50,30.9
1/20/16  10:00,33.1,15.1,48,33.1
1/20/16  11:00,35.1,15.1,44,35.1
1/20/16  12:00,36,16,44,36
1/20/16  13:00,36,14,41,36
1/20/16  14:00,36,15.1,43,36
1/20/16  15:00,36,14,41,36
1/20/16  16:00,35.1,14,42,35.1
1/20/16  17:00,34,15.1,46,34
1/20/16  18:00,34,15.1,46,34
1/21/16  19:00,33.1,15.1,48,33.1
1/21/16  20:00,33.1,16,50,33.1
1/21/16  21:00,32,15.1,50,32
1/21/16  22:00,30.9,15.1,52,30.9
1/21/16  23:00,30.9,15.1,52,30.9
1/21/16  00:00,30,14,51,30
1/21/16  01:00,30,14,51,30
1/21/16  02:00,28.9,12.9,51,28.9
1/21/16  03:00,28,12.9,53,28
1/21/16  04:00,27,12,53,27
1/21/16  05:00,27,12,53,27
1/21/16  06:00,27,12.9,56,27
1/21/16  07:00,27,12.9,56,27
1/21/16  08:00,28,12.9,53,28
1/21/16  09:00,30,10.9,45,30
1/21/16  10:00,32,10.9,42,32
1/21/16  11:00,33.1,10.9,40,33.1
1/21/16  12:00,35.1,10.9,37,35.1
1/21/16  13:00,35.1,10,35,35.1
1/21/16  14:00,35.1,10,35,35.1
1/21/16  15:00,34,12,40,34
1/21/16  16:00,32,10,40,32
1/21/16  17:00,30.9,10,42,30.9
1/21/16  18:00,30.9,12,46,30.9
1/22/16  19:00,30,12,47,30
1/22/16  20:00,28.9,10,45,28.9
1/22/16  21:00,28,9,45,28
1/22/16  22:00,27,7,43,27
1/22/16  23:00,26.1,5,41,26.1
1/22/16  00:00,24.1,3,40,24.1
1/22/16  01:00,23,3.9,44,23
1/22/16  02:00,21.9,3.9,46,21.9
1/22/16  03:00,21.9,3.9,46,21.9
1/22/16  04:00,21,5,50,21
1/22/16  05:00,21.9,5,48,21.9
1/22/16  06:00,21,3.9,48,21
1/22/16  07:00,21.9,3.9,46,21.9
1/22/16  08:00,23,3.9,44,23
1/22/16  09:00,25,3.9,41,25
1/22/16  10:00,26.1,3.9,39,26.1
1/22/16  11:00,28,3.9,36,28
1/22/16  12:00,28.9,5,36,28.9
1/22/16  13:00,28.9,3.9,35,28.9
1/22/16  14:00,28.9,3.9,35,28.9
1/22/16  15:00,28.9,3.9,35,28.9
1/22/16  16:00,28.9,5,36,28.9
1/22/16  17:00,28.9,5,36,28.9
1/22/16  18:00,28,5,38,28
1/23/16  19:00,28,5,38,28
1/23/16  20:00,28,6.1,39,28
1/23/16  21:00,28.9,7,40,28.9
1/23/16  22:39,27,12.9,56,27
1/23/16  22:00,27,14,58,27
1/23/16  23:03,27,14,58,27
1/23/16  23:24,26.1,16,66,26.1
1/23/16  23:00,26.1,18,71,26.1
1/23/16  00:19,25,19,78,25
1/23/16  00:47,24.8,19.4,80,24.8
1/23/16  00:00,25,19.9,81,25
1/23/16  01:00,24.1,19.9,84,24.1
1/23/16  02:38,25,19,78,25
1/23/16  02:00,25,18,75,25
1/23/16  03:35,24.1,19,81,24.1
1/23/16  03:00,24.1,19,81,24.1
1/23/16  04:13,24.1,19,81,24.1
1/23/16  04:30,24.1,19,81,24.1
1/23/16  04:00,24.1,19.9,84,24.1
1/23/16  05:22,24.1,21,88,24.1
1/23/16  05:30,24.1,19.9,84,24.1
1/23/16  05:00,24.1,21,88,24.1
1/23/16  06:39,25,21.9,88,25
1/23/16  06:00,25,21,85,25
1/23/16  07:29,25,21.9,88,25
1/23/16  07:00,25,21.9,88,25
1/23/16  08:00,26.1,21.9,84,26.1
1/23/16  09:00,27,23,85,27
1/23/16  10:26,27,23,85,27
1/23/16  10:00,27,23,85,27
1/23/16  11:02,27,24.1,89,27
1/23/16  11:38,27,24.1,89,27
1/23/16  11:00,27,24.1,89,27
1/23/16  12:40,27,23,85,27
1/23/16  12:00,27,23,85,27
1/23/16  13:00,27,23,85,27
1/23/16  14:00,27,23,85,27
1/23/16  15:19,27,23,85,27
1/23/16  15:00,27,23,85,27
1/23/16  16:24,27,23,85,27
1/23/16  16:00,27,23,85,27
1/23/16  17:34,27,23,85,27
1/23/16  17:00,27,23,85,27
1/23/16  18:00,26.1,21.9,84,26.1
1/24/16  19:00,25,21,85,25
1/24/16  20:00,24.1,19.9,84,24.1
1/24/16  21:14,25,19.9,81,25
1/24/16  21:35,25,19,78,25
1/24/16  21:00,26.1,18,71,26.1
1/24/16  22:01,26.1,17.1,69,26.1
1/24/16  22:34,27,17.1,66,27
1/24/16  22:00,27,15.1,61,27
1/24/16  23:00,27,17.1,66,27
1/24/16  00:37,26.1,17.1,69,26.1
1/24/16  00:00,26.1,16,66,26.1
1/24/16  01:04,27,14,58,27
1/24/16  01:19,26.1,15.1,63,26.1
1/24/16  01:39,26.1,14,60,26.1
1/24/16  01:00,26.1,12,55,26.1
1/24/16  02:00,26.1,8.1,47,26.1
1/24/16  03:00,24.1,8.1,51,24.1
1/24/16  04:00,21.9,8.1,55,21.9
1/24/16  05:00,21.9,7,53,21.9
1/24/16  06:00,21.9,7,53,21.9
1/24/16  06:59,21.9,6.1,51,21.9
1/24/16  07:00,19.9,7,57,19.9
1/24/16  08:00,19.9,7,57,19.9
1/24/16  09:00,21,8.1,57,21
1/24/16  10:00,24.1,8.1,51,24.1
1/24/16  11:00,27,9,47,27
1/24/16  12:00,30,8.1,40,30
1/24/16  13:00,32,10,40,32
1/24/16  14:00,33.1,12,42,33.1
1/24/16  15:00,35.1,12,39,35.1
1/24/16  16:00,35.1,12,39,35.1
1/24/16  17:00,35.1,12,39,35.1
1/24/16  18:00,33.1,10.9,40,33.1
1/25/16  19:00,32,10.9,42,32
1/25/16  20:00,32,12,44,32
1/25/16  21:00,32,12.9,45,32
1/25/16  22:00,32,12,44,32
1/25/16  23:00,30.9,12.9,47,30.9
1/25/16  00:00,30.9,14,50,30.9
1/25/16  01:00,30.9,14,50,30.9
1/25/16  02:00,30,14,51,30
1/25/16  03:00,30,15.1,54,30
1/25/16  04:00,30,14,51,30
1/25/16  05:00,28.9,15.1,56,28.9
1/25/16  06:00,28.9,14,54,28.9
1/25/16  07:00,28.9,16,58,28.9
